2.076985	2.901670	in
3.023846	4.352505	out
15.577386	16.111905	in
16.234080	17.150397	out
18.906671	19.945163	in
20.021523	20.892024	out
22.739930	23.579887	in
23.618067	24.503840	out
26.580825	27.359694	in
27.397874	28.245467	out
30.101008	30.666071	in
30.711886	31.231133	out
37.782798	38.744931	in
40.615744	41.440429	in
41.470973	42.593461	out
47.335401	48.137178	in
48.190630	49.221487	out
51.787174	52.657675	in
53.566356	54.574304	out
54.917923	55.437169	in
55.528801	56.063319	out
58.377019	59.018441	in
59.079529	59.896578	out
60.011118	60.942706	in
61.943019	62.782976	out
62.813520	63.470214	in
